Name,Number,Source,Position,Trigger,Anode,Cathode,Shield,Livetime,Corrected Livetime,Events,Corrected Events,Processed,Category,Comment
xe100_140515_2142,1405152142,Background,other,S1,,14,closed,7.05248,,1923,,,,Study cathode problem when 10Hz noise at 14kV. No anode. Wrong recirculation flow at 4.75slpm
xe100_140515_2207,1405152207,Background,other,S1,,14,closed,41.198,,9683,,,,Study cathode problem when 10Hz noise at 14kV. No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_0718,1405160718,Background,other,S1,,14,closed,3503.73,,19548,,,,Study cathode problem when 10Hz noise at 14kV. No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_1013,1405161013,Background,other,S1,,14,closed,239.952,240,33334,33334,0.4.5,,Study cathode problem when 10Hz noise at 14kV. No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_1211,1405161211,Background,other,S1,,8,closed,162.281,162.3,202,202,0.4.5,,Study cathode problem. Rate seems ok 1Hz. No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_1227,1405161227,Background,other,S1,,12,closed,151.468,151.5,216,216,0.4.5,,Study cathode problem. Rate seems ok 1Hz. No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_1241,1405161241,Background,other,S1,,14,closed,138.2,138.2,208,208,0.4.5,,Study cathode problem. Rate seems ok 1Hz. No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_1259,1405161259,Background,other,S1,,15,closed,540.942,540.9,13575,13575,0.4.5,,Study cathode problem. Rate is ok only at the start (then cathode spark problem). No anode. Wrong recirculation flow at 4.75slpm
xe100_140516_1340,1405161340,Cs137,red,S1,4.4,11,closed,684.071,,50000,,,,"Low cathode, hairy events problem on top of source rate. Wrong recirculation flow at 4.75slpm"
xe100_140516_1725,1405161725,Cs137,red,S1,4.4,12,closed,780.33,780.3,50000,50000,0.4.5,,"Low cathode, still some crowdy events"
xe100_140516_2022,1405162022,Background,other,S1,4.4,12,closed,46067.8,46067.8,111149,111149,0.4.5,,Low cathode. Monitor rate evolution
xe100_140517_0920,1405170920,Background,other,S1,4.4,12,closed,47148.9,46248.2,169545,131399,0.4.5,,Low cathode. Monitor rate evolution
xe100_140517_2238,1405172238,Background,other,S1,4.4,12,closed,45361.3,42717.1,200000,129608,0.4.5,,Low cathode. Monitor rate evolution
xe100_140518_1454,1405181454,Background,other,S1,4.4,12,closed,36902.2,36902.2,38098,38098,0.4.5,,Low cathode. Monitor rate evolution
xe100_140519_0108,1405190108,Background,other,S1,4.4,12,closed,31558.7,31558.7,26141,26141,0.4.5,,Low cathode. Rate seems back to normal.
xe100_140519_0956,1405190956,LED,other,EXT,4.4,12,closed,1037.28,,100000,,,,"F1 4.70V, F2 4.85V, width 4usi, First LED dataset of run_14"
xe100_140519_1022,1405191022,Cs137,red,S1,4.4,12,closed,2011.23,2011.2,50000,50000,0.4.5,,Low cathode
xe100_140519_1732,1405191732,Background,other,S1,4.4,14,closed,60345.3,59439.6,74544,73830,0.4.5,,
xe100_140520_1032,1405201032,Cs137,red,S1,4.4,14,closed,2030.44,2030.4,50000,50000,0.4.5,,
xe100_140520_1301,1405201301,Background,other,S1,4.4,15,closed,2336.66,2336.7,62750,62750,0.4.5,,
xe100_140522_1751,1405221751,Cs137,red,S1,4.4,11,closed,1967.74,1967.7,50000,50000,0.4.5,,
xe100_140522_1849,1405221849,Background,other,S1,4.4,11,closed,53398.7,,105072,,,,
xe100_140523_1731,1405231731,Cs137,red,S1,4.4,8.5,closed,1996.61,1996.6,50000,50000,0.4.5,,Low cathode
xe100_140524_2209,1405242209,Background,other,S1,4.4,8.5,closed,72089.9,,66161,,,,Low cathode
xe100_140525_1810,1405251810,Background,other,S1,4.4,8.5,closed,57719.7,,53422,,,,Low cathode
xe100_140526_1012,1405261012,Cs137,red,S1,4.4,8.5,closed,1984.11,1984.1,50000,50000,0.4.5,,Low cathode
xe100_140526_1215,1405261215,Background,other,S1,4.4,10,closed,12548.6,,11737,,,,Low cathode
xe100_140526_1550,1405261550,LED,other,EXT,4.4,10,closed,1071.7,,100000,,,,"F1 4.70V, F2 4.85V, width 4usi, First LED dataset of run_14"
