name,number,raw_data_subfolder,source,position,trigger,anode,cathode,shield,livetime,corrected_livetime,events,corrected_events,processed,category,comment,,,
xe100_100927_0947,1009270947,run_10,LED,other,EXT,,,closed,,,100000,,,,"F1 4.50, F2 4.75V, 4us, anode and cathode off, no recirc.",,,
xe100_100927_1101,1009271101,run_10,LED,other,EXT,,,closed,,,100000,,,,"F1 4.70, F2 4.85V, 4us, anode and cathode off, no recirc.",,,
xe100_100927_1204,1009271204,run_10,LED,other,EXT,,,closed,,,50000,,,,"F1 4.70, F2 4.85V, 4us, anode and cathode off, no recirc.",,,
xe100_100927_1245,1009271245,run_10,LED,other,EXT,4.5,,closed,,,50000,,,,"F1 4.70, F2 4.85V, 4us, anode on and cathode off, no recirc.",,,
xe100_100927_1307,1009271307,run_10,LED,other,EXT,4.5,15,closed,,,50000,,,,"F1 4.70, F2 4.85V, 4us, anode and cathode on, no recirc.",,,
xe100_100927_1324,1009271324,run_10,LED,other,EXT,4.5,16,closed,,,50000,,,,"F1 4.70, F2 4.85V, 4us, anode and cathode on, no recirc.",,,
xe100_100927_1403,1009271403,run_10,LED,other,EXT,4.5,16,closed,,,50000,,,,"F1 4.70, F2 4.85V, 4us, anode and cathode on, recirc. on",,,
xe100_100927_1615,1009271615,run_10,Cs137,red,S2,4.5,16,closed,2305.41,2305.4,100000,100000,0.4.2,,run10 lets rock n roll,,,
xe100_100927_1818,1009271818,run_10,Background,other,S2,4.5,16,closed,2809.91,2809.9,72154,72154,0.4.2,,recirc 4.77 slpm,,,
xe100_100927_1905,1009271905,run_10,Background,other,S2,4.5,16,closed,51563,51563,1122444,1122444,0.4.2,,recirc 4.77 slpm,,,
xe100_100928_1001,1009281001,run_10,Cs137,red,S2,4.5,16,closed,1933.46,1933.5,100000,100000,0.4.2,,run10 lets rock n roll,,,
xe100_100928_1117,1009281117,run_10,Background,other,S2,4.5,16,closed,1732.79,1732.8,58084,58084,0.4.2,,recirc 4.77 slpm,,,
xe100_100928_1147,1009281147,run_10,Background,other,S2,4.5,16,closed,11917.3,11917.3,273055,273055,0.4.2,,recirc 4.77 slpm,,,
xe100_100928_1516,1009281516,run_10,Background,other,S2,4.5,16,closed,288.596,288.6,8481,8481,0.4.2,,recirc 4.77 slpm, pmt171 off,,
xe100_100928_1828,1009281828,run_10,Background,other,S2,4.5,16,closed,57170.6,57170.6,886583,886583,0.4.2,,recirc 4.77 slpm, pmt171 off,,
xe100_100929_1720,1009291720,run_10,Cs137,red,S2,4.5,16,closed,4107.86,4107.9,100000,100000,0.4.2,,after fixing fan in fan out,,,
xe100_100929_1835,1009291835,run_10,Background,other,S2,4.5,16,closed,53639.5,53639.5,35916,35916,0.4.2,,recirc 4.77 slpm,,,
xe100_100930_1156,1009301156,run_10,LED,other,EXT,4.4,16,closed,512.384,,50000,,,,"F1 4.60, F2 4.7V, 4us",,,
xe100_100930_1238,1009301238,run_10,LED,other,EXT,4.5,16,closed,203.857,,20895,,,,"F1 4.65, F2 4.75V, 4us",,,
xe100_100930_1241,1009301241,run_10,LED,other,EXT,4.5,16,closed,524.546,,50000,,,,"F1 4.65, F2 4.75V, 4us",,,
xe100_100930_1307,1009301307,run_10,Cs137,red,S2,4.5,16,closed,4124.24,4124.2,100000,100000,0.4.2,,,,,
xe100_100930_1711,1009301711,run_10,Cs137,red,S2,4.5,16,closed,1390.11,1390.1,33606,33606,0.4.2,,s2 optim flowrec 4.6 (set2.7) lev3 7.1mm anode i-tripped,,,
xe100_100930_1749,1009301749,run_10,Cs137,red,S2,4.5,16,closed,1111.51,1111.5,27261,27261,0.4.2,,s2 optim flowrec 4.6 (set2.7) lev3 7.1mm after anode i -trip,,,
xe100_100930_1843,1009301843,run_10,Cs137,red,S2,4.5,16,closed,1175.79,1175.8,28501,28501,0.4.2,,"s2 optim flowrec 4.4 (set2.6) lev3 7.3mm after anode i -trip, anode i-triped again",,,
xe100_100930_1921,1009301921,run_10,Cs137,red,S2,4.5,16,closed,839.876,839.9,20689,20689,0.4.2,,s2 optim flowrec 4.4 (set2.6) lev3 7.3mm after anode i -trip,,,
xe100_100930_1939,1009301939,run_10,Background,other,S2,4.5,16,closed,7055.14,7055.1,4748,4748,0.4.2,,"recirc 4.4 slpm, anode I-trip",,,
xe100_100930_2143,1009302143,run_10,Background,other,S2,4.5,16,closed,59589.8,59589.8,48376,48376,0.4.2,,"recirc 4.4 slpm, after anode I-trip",,,
